,A2,A3,C2-sy,C5-sy,123,178,194,197,Los_Viscos_V353,Arica4,Arica5,Z2,Z61,Z64,Z65,Z66,Z67,Z6,C1,C3,C5,C6,C9,C10,C11,C12,C13,C14,C15,C17,C18,C19,C20,C23,C26,C39,C36,C45,SAMN04225721,SAMN04225722,SAMN04225724,SAMN04225730,SAMN00839327
A2,,0.165669581,0.133752244,0.172584487,0.14827819,0.156542414,0.142630745,0.163507307,0.174514563,0.161200969,0.161200969,0.158802638,0.159033287,0.156234517,0.156975957,0.16131989,0.16292251,0.160168599,0.153835714,0.157836872,0.145305844,0.155916936,0.160363342,0.157558503,0.15797126,0.156295122,0.156676719,0.156781275,0.148540121,0.154362652,0.153872645,0.154779041,0.158946474,0.156531532,0.157890896,0.159072333,0.157595943,0.157075077,0.155061678,0.159022556,0.157833629,0.158740514,0.159136858
A3,0.165669581,,0.165348165,0.173828871,0.160729507,0.164608094,0.153303448,0.163352299,0.174355628,0.168565207,0.168477365,0.165237974,0.167108253,0.165004728,0.16545804,0.172062329,0.172455257,0.173941392,0.161369954,0.169224357,0.154234056,0.165364503,0.168955277,0.165395106,0.166330649,0.166450771,0.16500907,0.165025277,0.159476621,0.161275206,0.16215515,0.16373766,0.168226546,0.167136797,0.168769028,0.168778537,0.169453001,0.169142112,0.164560796,0.168853578,0.1695573,0.170826324,0.169721194
C2-sy,0.133752244,0.165348165,,0.164360211,0.149935881,0.15595982,0.137758297,0.1498754,0.158279846,0.158546221,0.158613683,0.151245005,0.154006441,0.150483032,0.154985192,0.149476831,0.161155056,0.133920705,0.150184291,0.1560873,0.144806258,0.152642084,0.156340281,0.153063118,0.155421811,0.155035396,0.153593419,0.153038557,0.148463898,0.150048533,0.150389187,0.153019616,0.156207827,0.154649523,0.156337164,0.155635342,0.155990305,0.1569464,0.154062061,0.156574236,0.156728466,0.157869897,0.160095474
C5-sy,0.172584487,0.173828871,0.164360211,,0.159704967,0.163497533,0.15281045,0.162801379,0.169764917,0.166886727,0.16676856,0.163165411,0.165376699,0.162213411,0.164123856,0.168668928,0.169061021,0.172247828,0.160051405,0.165785601,0.152065666,0.162004985,0.165934687,0.163264543,0.163679074,0.164325642,0.16253291,0.163555955,0.157568019,0.159547908,0.160433537,0.161395222,0.165035731,0.16415934,0.16681097,0.166419563,0.166819228,0.166434133,0.162535607,0.165473589,0.166517788,0.167710875,0.16719874
123,0.14827819,0.160729507,0.149935881,0.159704967,,0.158534671,0.14832729,0.157103908,0.157440959,0.158406457,0.158365863,0.1529707,0.160549227,0.15312406,0.158609597,0.156892962,0.158438969,0.157529442,0.155265159,0.156045112,0.144956525,0.153194818,0.15553787,0.15680306,0.154633428,0.157698567,0.155576443,0.158073682,0.150050645,0.152317477,0.155601509,0.15285565,0.154938312,0.155893578,0.155811495,0.15652991,0.157389791,0.156831399,0.155575207,0.157409675,0.157221569,0.157317648,0.157058491
178,0.156542414,0.164608094,0.15595982,0.163497533,0.158534671,,0.152385929,0.161472193,0.161481888,0.162193196,0.162021789,0.156004415,0.165203259,0.157886364,0.161885084,0.162504315,0.16352526,0.165870806,0.159983399,0.161054121,0.149001598,0.157626599,0.160134123,0.161919751,0.159914745,0.163196742,0.160609901,0.163723756,0.153762482,0.156063221,0.160079847,0.157320631,0.160273743,0.160428778,0.160622022,0.160765245,0.162007689,0.160219655,0.160823701,0.161966705,0.161453428,0.162012226,0.161858751
194,0.142630745,0.153303448,0.137758297,0.15281045,0.14832729,0.152385929,,0.149654418,0.149160771,0.15061472,0.150612488,0.145627079,0.150327118,0.145502282,0.148987914,0.147523659,0.152392414,0.149710313,0.146304066,0.149541577,0.139411628,0.146559011,0.149597855,0.148868895,0.148162143,0.149737166,0.14855806,0.149604954,0.142998593,0.144976268,0.147298875,0.145709823,0.14956966,0.150069198,0.150306527,0.148318825,0.149254288,0.148651572,0.149045113,0.151009989,0.15034184,0.151499374,0.152364168
197,0.163507307,0.163352299,0.1498754,0.162801379,0.157103908,0.161472193,0.149654418,,0.160474545,0.1608889,0.160764119,0.154343767,0.16258324,0.15564879,0.160442246,0.157349753,0.162842339,0.165844229,0.156982917,0.15922174,0.147407912,0.156387063,0.158966582,0.159585568,0.157601643,0.160466071,0.158232756,0.160093358,0.152915709,0.154615438,0.157324987,0.155843132,0.158120165,0.158336734,0.159341238,0.159219986,0.159229039,0.15887757,0.158252771,0.159609861,0.160638494,0.160943843,0.160967101
Los_Viscos_V353,0.174514563,0.174355628,0.158279846,0.169764917,0.157440959,0.161481888,0.149160771,0.160474545,,0.163999105,0.164020909,0.161224557,0.162869163,0.16000317,0.161457207,0.166615875,0.167874016,0.169813615,0.158059968,0.163607837,0.149846351,0.160485473,0.16323307,0.160961235,0.161000989,0.162855285,0.160568711,0.160876727,0.155413511,0.157540017,0.158811376,0.158904307,0.162690003,0.16176941,0.163366004,0.164768076,0.165480301,0.16543523,0.160493593,0.163351782,0.164522782,0.164900845,0.165253994
Arica4,0.161200969,0.168565207,0.158546221,0.166886727,0.158406457,0.162193196,0.15061472,0.1608889,0.163999105,,0.215550124,0.169979121,0.175363461,0.171713562,0.174014103,0.17650493,0.180186301,0.182075331,0.16941691,0.175866154,0.161997973,0.171880008,0.175193825,0.172480838,0.173121016,0.173867936,0.171914566,0.172395488,0.166930027,0.168313563,0.169516333,0.171179496,0.17477035,0.173732994,0.176243094,0.173099502,0.17486489,0.173366049,0.172101083,0.175280975,0.176163497,0.177823907,0.176496394
Arica5,0.161200969,0.168477365,0.158613683,0.16676856,0.158365863,0.162021789,0.150612488,0.160764119,0.164020909,0.215550124,,0.170209562,0.175368456,0.171717008,0.174117569,0.176295061,0.180181519,0.181321252,0.169395605,0.175763057,0.161993564,0.171830343,0.175240741,0.172416592,0.173165146,0.17379213,0.171910346,0.172313252,0.166885936,0.168296081,0.169400799,0.171202229,0.174764817,0.173645713,0.17618446,0.173075617,0.1748112,0.173372717,0.172058213,0.175203664,0.176162746,0.177732286,0.176426362
Z2,0.158802638,0.165237974,0.151245005,0.163165411,0.1529707,0.156004415,0.145627079,0.154343767,0.161224557,0.169979121,0.170209562,,0.168896196,0.169709698,0.167157335,0.168968372,0.172786191,0.185570086,0.162882832,0.167815118,0.154394639,0.164425328,0.167028215,0.165550616,0.165646446,0.166925771,0.165233917,0.165757755,0.159230414,0.161607391,0.163498183,0.163653942,0.166814675,0.165912073,0.167947739,0.175851169,0.177053696,0.17733847,0.165229599,0.16825812,0.16803745,0.169399869,0.170369739
Z61,0.159033287,0.167108253,0.154006441,0.165376699,0.160549227,0.165203259,0.150327118,0.16258324,0.162869163,0.175363461,0.175368456,0.168896196,,0.170910402,0.176599243,0.183104974,0.177364327,0.181654039,0.173178213,0.173532574,0.161802244,0.170675911,0.172531263,0.174621227,0.17247809,0.176049002,0.172990141,0.176888302,0.166964232,0.169109729,0.173388924,0.170323876,0.172749805,0.173762702,0.173980604,0.173330481,0.175132844,0.173114234,0.173317724,0.175060583,0.175039815,0.175696911,0.175361811
