Archaeological Sites,Latitude,Longitude
Huambacho Archaeological Project(n=24),-9.593386466,-77.17724184
PSUM Archaeological Project(n=141),-9.165360275,-77.7502888
El Brujo Archaeological Complex(n=7),-7.878272176,-79.32684039
Site Museum Huaca Pucllana(n=59),-12.11115222,-77.03326492
Site Pia Paurarku(n=3),-8.703907442,-77.46392246
Samaca Archaeological Project(n=4),-14.03928736,-75.73217432
Paurarku Archaeological Project(n=2),-9.085539073,-77.96000174
Museu de Histo_ria Natural UFMG(n=3),-12.61457107,-55.754063
Susques Archeaological Project(n=1),-23.41426791,-66.48318335
Archaeological site Los Viscos(n=12),-27.53975978,-66.99880451
Site Puna de Salta(n=3),-24.69568689,-66.19503275
Site Campo Morado(n=3),17.58468037,-100.083075
Site  La Huerta(n=3),19.51596717,-104.6458008
Site Casserones(n=7),-28.18164994,-69.53668188
